trip_id,stop_id,time
bus1-1,kanoya,17:45:00
bus1-1,kinko,17:48:00
bus1-1,nejime,17:51:00
bus1-2,kanoya,17:47:00
bus1-2,kinko,17:50:00
bus1-3,kanoya,17:49:00
bus1-3,kinko,17:52:00
bus1-3,nejime,17:55:00
bus1-4,kanoya,17:51:00
bus1-4,kinko,17:54:00
bus1-5,kanoya,17:53:00
bus1-5,kinko,17:56:00
bus1-5,nejime,17:59:00
bus1-6,kanoya,17:55:00
bus1-6,kinko,17:58:00
bus1-7,kanoya,17:57:00
bus1-7,kinko,18:00:00
bus1-7,nejime,18:03:00
bus1-8,kanoya,17:59:00
bus1-8,kinko,18:02:00
bus1-9,kanoya,18:01:00
bus1-9,kinko,18:04:00
bus1-9,nejime,18:07:00
bus1-10,kanoya,18:03:00
bus1-10,kinko,18:06:00
bus1-11,kanoya,18:05:00
bus1-11,kinko,18:08:00
bus1-11,nejime,18:11:00
bus1-12,kanoya,18:07:00
bus1-12,kinko,18:10:00
bus1-13,kanoya,18:09:00
bus1-13,kinko,18:12:00
bus1-13,nejime,18:15:00
bus1-14,kanoya,18:11:00
bus1-14,kinko,18:14:00
bus1-15,kanoya,18:13:00
bus1-15,kinko,18:16:00
bus1-15,nejime,18:19:00
bus1-16,kanoya,18:15:00
bus1-16,kinko,18:18:00
bus1-17,kanoya,18:17:00
bus1-17,kinko,18:20:00
bus1-17,nejime,18:23:00
bus1-18,kanoya,18:19:00
bus1-18,kinko,18:22:00
bus1-19,kanoya,18:21:00
bus1-19,kinko,18:24:00
bus1-19,nejime,18:27:00
bus1-20,kanoya,18:23:00
bus1-20,kinko,18:26:00
bus1-21,kanoya,18:25:00
bus1-21,kinko,18:28:00
bus1-21,nejime,18:31:00
bus1-22,kanoya,18:27:00
bus1-22,kinko,18:30:00
bus1-23,kanoya,18:29:00
bus1-23,kinko,18:32:00
bus1-23,nejime,18:35:00
bus1-24,kanoya,18:31:00
bus1-24,kinko,18:34:00
bus1-25,kanoya,18:33:00
bus1-25,kinko,18:36:00
bus1-25,nejime,18:39:00
bus1-26,kanoya,18:35:00
bus1-26,kinko,18:38:00
bus1-27,kanoya,18:37:00
bus1-27,kinko,18:40:00
bus1-27,nejime,18:43:00
bus1-28,kanoya,18:39:00
bus1-28,kinko,18:42:00
bus1-29,kanoya,18:41:00
bus1-29,kinko,18:44:00
bus1-29,nejime,18:47:00
bus1-30,kanoya,18:43:00
bus1-30,kinko,18:46:00
bus1-31,kanoya,18:45:00
bus1-31,kinko,18:48:00
bus1-31,nejime,18:51:00
bus1-32,kanoya,18:47:00
bus1-32,kinko,18:50:00
bus1-33,kanoya,18:49:00
bus1-33,kinko,18:52:00
bus1-33,nejime,18:55:00
bus1-34,kanoya,18:51:00
bus1-34,kinko,18:54:00
bus1-35,kanoya,18:53:00
bus1-35,kinko,18:56:00
bus1-35,nejime,18:59:00
bus1-36,kanoya,18:55:00
bus1-36,kinko,18:58:00
bus1-37,kanoya,18:57:00
bus1-37,kinko,19:00:00
bus1-37,nejime,19:03:00
bus1-38,kanoya,18:59:00
bus1-38,kinko,19:02:00
bus1-39,kanoya,19:01:00
bus1-39,kinko,19:04:00
bus1-39,nejime,19:07:00
bus1-40,kanoya,19:03:00
bus1-40,kinko,19:06:00
bus1-41,kanoya,19:05:00
bus1-41,kinko,19:08:00
bus1-41,nejime,19:11:00
bus1-42,kanoya,19:07:00
bus1-42,kinko,19:10:00
bus1-43,kanoya,19:09:00
bus1-43,kinko,19:12:00
bus1-43,nejime,19:15:00
bus1-44,kanoya,19:11:00
bus1-44,kinko,19:14:00
bus1-45,kanoya,19:13:00
bus1-45,kinko,19:16:00
bus1-45,nejime,19:19:00
bus1-46,kanoya,19:15:00
bus1-46,kinko,19:18:00
bus1-47,kanoya,19:17:00
bus1-47,kinko,19:20:00
bus1-47,nejime,19:23:00
bus1-48,kanoya,19:19:00
bus1-48,kinko,19:22:00
bus1-49,kanoya,19:21:00
bus1-49,kinko,19:24:00
bus1-49,nejime,19:27:00
bus1-50,kanoya,19:23:00
bus1-50,kinko,19:26:00
bus1-51,kanoya,19:25:00
bus1-51,kinko,19:28:00
bus1-51,nejime,19:31:00
bus1-52,kanoya,19:27:00
bus1-52,kinko,19:30:00
bus1-53,kanoya,19:29:00
bus1-53,kinko,19:32:00
bus1-53,nejime,19:35:00
bus1-54,kanoya,19:31:00
bus1-54,kinko,19:34:00
bus1-55,kanoya,19:33:00
bus1-55,kinko,19:36:00
bus1-55,nejime,19:39:00
bus1-56,kanoya,19:35:00
bus1-56,kinko,19:38:00
bus1-57,kanoya,19:37:00
bus1-57,kinko,19:40:00
bus1-57,nejime,19:43:00
bus1-58,kanoya,19:39:00
bus1-58,kinko,19:42:00
bus1-59,kanoya,19:41:00
bus1-59,kinko,19:44:00
bus1-59,nejime,19:47:00
bus1-60,kanoya,19:43:00
bus1-60,kinko,19:46:00
bus1-61,kanoya,19:45:00
bus1-61,kinko,19:48:00
bus1-61,nejime,19:51:00
bus1-62,kanoya,19:47:00
bus1-62,kinko,19:50:00
bus1-63,kanoya,19:49:00
bus1-63,kinko,19:52:00
bus1-63,nejime,19:55:00
bus1-64,kanoya,19:51:00
bus1-64,kinko,19:54:00
bus1-65,kanoya,19:53:00
bus1-65,kinko,19:56:00
bus1-65,nejime,19:59:00
bus1-66,kanoya,19:55:00
bus1-66,kinko,19:58:00
bus1-67,kanoya,19:57:00
bus1-67,kinko,20:00:00
bus1-67,nejime,20:03:00
bus1-68,kanoya,19:59:00
bus1-68,kinko,20:02:00
